Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,oldenergy,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,PhysicalActivity,BMR,EnergyIntake,ratio,Income
42,1,275.785176998554,101.067747581551,84.1693105437777,2.94879950335627,2014.5546517137,40.5831612027131,17.6334188613284,36.7438283976175,118.903146651012,83.3573084764137,21.5640178720911,136.588003868965,222.563798979523,41.6119578451951,70.0207187191422,27.4137848410946,991.529549614202,12.6163129781319,94.5649209483148,1.34481205508653,9.85227383493203,8.43351741953065,162.3700456,73.71431551,1.7407482,1383.5787969449,2408.46230034,1.19553088236709,760.9204718
43,1,274.819434381,100.749182179355,84.0237434317816,2.94416407412783,2023.46777059026,40.3957438360402,17.5681356600271,36.7067043836067,118.615038317269,83.2036716060318,21.5001377837919,137.118164962099,223.376369926659,41.7133749919894,70.3029383936625,27.4067300263433,990.173390069308,12.584703835961,94.3667659921503,1.34293448893133,9.83490449248721,8.39578618567106,162.3080906,73.87550341,1.739921329,1379.8818453159,2400.88585416501,1.18652043242807,763.8289762
44,1,273.845464125955,100.416928371562,83.8591588102479,2.93977860857399,2032.69387353798,40.2002052268276,17.4980963309279,36.6680469815231,118.336253577805,83.0515301233078,21.4314427781334,137.668787200011,224.243060916716,41.8317779199997,70.584282451904,27.4184854413481,988.975941197295,12.5509757555665,94.1650283201139,1.34082804591183,9.81511121998837,8.36051022155954,162.2405228,74.01995107,1.739189475,1375.9825786893,2393.09441863979,1.17730192912646,766.1381241
45,1,272.856435851912,100.068615595083,83.673403417725,2.93545936474111,2042.19700061187,39.995958438527,17.422839985649,36.6264184454105,118.065103328634,82.8949813768556,21.3582986602689,138.241691628063,225.155391592346,41.9655154289557,70.856043020696,27.4473300113936,987.915179030945,12.5150447330941,93.9586017091675,1.3384797836289,9.79276022200723,8.32814585795954,162.1677792,74.14441793,1.738551272,1371.8513551207,2385.03391844002,1.16787651618597,767.8057095
46,1,271.845760962957,99.7019535962989,83.4642151836254,2.93101002290501,2051.94270509472,39.782487246429,17.3419603646592,36.580346534223,117.800076413928,82.7287072398074,21.2810472268956,138.838152038033,226.103491055551,42.1122326345869,71.1092994781119,27.4908899348735,986.964471215006,12.4768073366197,93.7464387341555,1.33587530163881,9.76770107553457,8.29880474797297,162.090368,74.24603079,1.737999297,1367.4626475921,2376.64912018883,1.15824341210303,768.7981166
47,1,270.807375404889,99.3148649049818,83.2293497676519,2.9262286212164,2061.89852528413,39.5593968936339,17.255131169365,36.5283767860282,117.539908880864,82.5481726360105,21.2000116837825,139.458910057607,227.076336675161,42.2690010756387,71.3351761460475,27.5463193864712,986.092996474007,12.4361508789833,93.5275452745571,1.33300056992059,9.73977871205067,8.2722771029293,162.0088139,74.32252895,1.7375195,1362.7971510855,2367.8866245555,1.14840114366405,769.0918362
48,1,269.735890298255,98.9055655998265,82.9666772245381,2.92091325181146,2072.03409460238,39.326442146814,17.1621202399113,36.4691109773861,117.28359589625,82.3497433469192,21.1154942665208,140.104140938127,228.06189851025,42.4324462480944,71.5250801671017,27.6104736463653,985.265972479055,12.3929595780854,93.3009381448146,1.32984326128995,9.7088424130614,8.24806067942248,161.9236077,74.37243332,1.737090748,1357.8431569918,2358.69678524557,1.13834844290928,768.6747111
49,1,268.626595777319,98.4725871603621,82.6742394456519,2.91486624226668,2082.320931846,39.0835298212657,17.0627916008973,36.4012287095039,117.03034147689,82.1307165063101,21.0277644975116,140.773359889292,229.047174854187,42.5988623436448,71.6709077469372,27.6800634851994,984.444652844152,12.3471155842168,93.0655650926005,1.32639340827353,9.67475069633381,8.22539226195409,161.8351601,74.39512353,1.736684549,1352.5970346897,2349.03437116882,1.1280846939796,767.5468092
50,1,267.475310877009,98.0147357461249,82.3502616327368,2.90789663850097,2092.73197371837,38.8306945576108,16.9570951542418,36.323489874989,116.779443867563,81.8892621371074,20.9370372348433,141.465262429825,230.018112700459,42.7643055396181,71.7652079024294,27.7517817333171,983.58606589196,12.2984941075165,92.8201883203366,1.3226432460432,9.63737126772935,8.20327893927706,161.7437602,74.39081828,1.736264936,1347.0627758672,2338.85786432905,1.11760984861017,765.7208476
51,1,266.278105477218,97.5309982210062,81.9931219631063,2.89982117995272,2103.24092594858,38.5680519658456,16.845046139611,36.2347201616367,116.530128137618,81.6242868119739,20.8434424450355,142.177509539462,230.959437245967,42.924663376857,71.8013014774398,27.8223981358748,982.642574115841,12.2469534572195,92.5632433024559,1.31858628102747,9.59657648454901,8.18052794578079,161.649539,74.36046591,1.735788571,1341.2506731909,2328.12758937082,1.10692387193865,763.2221087
52,1,265.030935870243,97.0204106681046,81.6012893805872,2.89046414787537,2113.82151660694,38.2957359093674,16.7266976150563,36.1337839218899,116.281343730108,81.3352376133162,20.7469900442647,142.906477446683,231.854430764512,43.0757017894098,71.7733581059606,27.8888223343912,981.561378106609,12.1923216076429,92.2926891475239,1.31421572509178,9.5522354478733,8.15577486897262,161.5524409,74.30556449,1.735205065,1335.1753448801,2316.80302109907,1.09602584839706,760.0878226
53,1,263.729255014545,96.481912823476,81.1732465282119,2.87965670136471,2124.44673555476,38.0138297872732,16.6021104864225,36.019551557427,116.031552770297,81.0218723659183,20.6475348634769,143.647003775847,232.684720956796,43.2130963907057,71.6764404263125,27.94813911328,980.284151233896,12.1343819063544,92.0058726087663,1.30952256074349,9.50420466711423,8.12751121465548,161.4522063,74.22793867,1.734457545,1328.8533966883,2304.8398000849,1.0849129618131,756.3660232
54,1,262.367664881806,95.9142144652299,80.7074177846755,2.86723640253715,2135.08813771207,37.7223026787658,16.4713259431967,35.8908696834284,115.778537609796,80.684025243112,20.5447474429917,144.392167525027,233.430147177682,43.3324577233846,71.5065282843684,27.9976229250435,978.747009081281,12.0728609349059,91.6994292262412,1.30449356599517,9.45231958442723,8.0941130815005,161.3483694,74.12950555,1.733483475,1322.3010691945,2292.1870524235,1.07357959230656,752.1139204
