"Age","Gender","FoodCarbohydrate","FoodFat","FoodProtein","FoodSodium","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodSaturatedFat","FoodTotalSugar","FoodAddedSugar","FoodFibre","FoodFruit","FoodVegetable","FoodRedMeat","FoodProcessedMeat","FoodLegume","FoodCalcium","FoodIron","FoodVitaminC","FoodCopper","FoodZinc","FoodAlcohol","PhysicalActivity"
34,1,274.155133093738,100.647030943267,81.4808353341006,2.88375464545242,40.6653105215823,17.7150166783349,36.0241058523726,116.6831082246,81.2256327636767,21.1660709478086,128.638276506946,213.600662321856,39.7906188181557,66.4478013479485,27.3172178903733,968.220583697438,12.3386939507855,91.9371218478192,1.3075505398904,9.51310161964989,16.4285046703463,1.69433905015122
35,1,273.182207085232,100.447733397272,81.4252034716724,2.87591154835179,40.566466595587,17.6850870809589,35.980890868276,116.334269217348,80.9681305130863,21.1488713922268,129.224363403362,214.001869523714,39.8729443712988,66.5223220136805,27.1767759931218,965.107290342323,12.3229259374343,91.6915091380599,1.30709459143432,9.51254314840831,16.2304065002129,1.69338121054806
36,1,272.220136215127,100.238173082666,81.3531228884154,2.8686186617143,40.4600702747661,17.6513994760692,35.9393796134418,116.008191927092,80.7421770938681,21.1233676141976,129.798034701111,214.461239253979,39.9589080993258,66.6381215237548,27.0405950293125,962.157208864351,12.304355192196,91.4509778848178,1.30630978769954,9.50931647044415,16.0236552701003,1.69242544223512
37,1,271.271218567591,100.019903644344,81.2662642146648,2.86196091518487,40.3467310549145,17.6141018903166,35.8998814361813,115.705678674467,80.547669466296,21.0901244454111,130.361169525682,214.988726091729,40.0514068112824,66.7951799964734,26.9155324712167,959.386422710151,12.2832281007462,91.2156444157114,1.3052402916788,9.50360673192521,15.8117806323009,1.69147742139246
38,1,270.335476459751,99.7936280974215,81.1657868260685,2.85597372946905,40.2267356237353,17.5731989093676,35.8623761747685,115.426454777661,80.3829779706233,21.0497084979748,130.915582918006,215.591314480425,40.152783075526,66.99179898939,26.8074201854596,956.805133143058,12.2597540945629,90.9852404487858,1.30392346325666,9.49557140385619,15.5983177626458,1.69054236704626
39,1,269.410715108588,99.5591817655635,81.0522502215578,2.85064261418083,40.1000475482062,17.5285576258366,35.826505752178,115.169180528493,80.2450673335668,21.0026584012177,131.462953364225,216.272774757197,40.2647012715076,67.2245939931876,26.7208558193271,954.416798167713,12.2340892266024,90.7591012931472,1.30238768002781,9.48532476721898,15.3866586506722,1.68962486325866
40,1,268.492765799061,99.3155981273571,80.9255872259017,2.845905695363,39.966340617228,17.4799286304667,35.7915922306041,114.931545197766,80.1296983536241,20.9494681499108,132.004821159585,217.033641793246,40.3880754071072,67.4885626546787,26.6590810084468,952.217844969248,12.2063282022905,90.5362014571483,1.30065124518981,9.47292920631508,15.1799272292741,1.68872868793811
41,1,267.575870005861,99.0612396097556,80.7851322415514,2.84165864953891,39.8250583895337,17.4269784707539,35.7566772489965,114.710425561961,80.0316892882547,20.8905818075621,132.542639092006,217.871377941687,40.5230469085578,67.7772214057346,26.6239435569524,950.197866324361,12.1765039833611,90.315223781444,1.29872228128933,9.4583928457854,14.9808815557613,1.68785665384666
42,1,266.653157516338,98.793975867264,80.6296962652295,2.83776151496397,39.6754920121976,17.3693293289569,35.7205776505899,114.502090629796,79.9452163142464,20.8263975899033,133.077853138927,218.780685012454,40.6690078840929,68.0828034065962,26.6159362605948,948.340222324252,12.1445939690692,90.0946497673206,1.29659954054765,9.4416729158878,14.7918445872961,1.68701046735459
43,1,265.717180856241,98.5113923231073,80.4576802088449,2.83404686544374,39.5168689803979,17.3066025002061,35.6819527820761,114.302439977056,79.8641336306781,20.7572792180926,133.611994667688,219.753921590004,40.8246645301615,68.3965100802603,26.6343020330968,946.622971371471,12.1105315857947,89.8728607382298,1.29427397558276,9.42268408220553,14.6146637610865,1.68619061028623
44,1,264.760470140812,98.2110121121945,80.2672167277052,2.83032883236304,39.3484453873761,17.2384619525301,35.6393788401536,114.107257443458,79.7822944612006,20.6835722367403,134.146767753682,220.781586512017,40.9881333350791,68.7088074515603,26.6771922004907,945.020051975187,12.0742220129651,89.6482405251717,1.2917309441706,9.40131073177479,14.4506977434977,1.68539624980905
45,1,263.776064603801,97.8905130494014,80.0563274163982,2.82641240482669,39.1695938526183,17.1646543043137,35.5914249652272,113.912466041576,79.6938539277314,20.6056221826093,134.684113421497,221.852821527246,41.1570607534283,69.0097549160674,26.7418625845818,943.502606641187,12.0355600168776,89.4192692962337,1.28895279831332,9.37742180352233,14.3008271999546,1.68462518074518
46,1,262.757987006605,97.5479221236234,79.8230821091548,2.82210245879488,38.9798795872964,17.0850419087965,35.5367259038871,113.714365979451,79.5935364879264,20.5237916409987,135.22623734199,222.955890970143,41.3287563179195,69.28935205709,26.8248914520928,942.040337262595,11.994448144589,89.1845997454378,1.28592162721726,9.35088658930388,14.1654850015056,1.68387380393864
47,1,261.701608647225,97.1817665210177,79.5657418106887,2.81721181399512,38.7791162730149,16.9996252259592,35.4740441091521,113.509832691594,79.4768482449413,20.4384720516063,135.775582281715,224.078585584767,41.5003262544924,69.5378829230198,26.922401949294,940.602722408642,11.9508124903426,88.9431029075878,1.28262180767726,9.32158935014215,14.044699814972,1.68313714341048
48,1,260.603876286196,96.791167763173,79.2828721164914,2.81156786141693,38.5673961322915,16.9085522694708,35.4023168190587,113.296460376426,79.3402218858345,20.3500876856917,136.334739200779,225.208517214718,41.6687974076502,69.746239785176,27.0302743575101,939.159983288825,11.9046141972491,88.693877471323,1.27904211054323,9.28944113271896,13.9381472546497,1.68240890399869
49,1,259.463371131958,96.3758666481112,78.9734135098927,2.80501726409621,38.3450899310305,16.8121132324661,35.3206829473892,113.072634550732,79.1810833640971,20.2590891914712,136.906287878388,226.333271900262,41.8312207364991,69.9062059776882,27.1443344818262,937.683669598728,11.8558546681808,88.4362160401769,1.27517708107454,9.25438711692334,13.8452022655223,1.68168157003862
50,1,258.280196586188,95.9361779023183,78.6367036691422,2.79742860305773,38.112816596349,16.7107206632493,35.2284887205951,112.837528696635,78.9978397427765,20.1659363999535,137.492575849229,227.440417158364,41.9847483724109,70.0106840606423,27.2605093942921,936.146829585831,11.8045740086417,88.1695308608859,1.27102756756461,9.21640882407333,13.7649880088848,1.68094654442409
51,1,257.055711968883,95.4728813576887,78.272452943416,2.78869302560533,37.8713862958997,16.6048769748044,35.1252731408177,112.591028059851,78.789794505155,20.0710715432443,138.095449562991,228.517375943252,42.1266820639922,70.0538607646848,27.3749453972424,934.52378180672,11.750842808056,87.8932468150273,1.26660038097893,9.17552121779855,13.6964176608342,1.68019432613427
52,1,255.792151749799,94.9870663726203,77.880682480278,2.77872326913199,37.6217241605058,16.4951329390303,35.0107377495111,112.333593701154,78.5570058314041,19.9748862310413,138.715963470333,229.551208771442,42.2544953353578,70.0313079794821,27.4840886651623,932.789596719771,11.6947488711365,87.6066770577709,1.26190718460549,9.13176570529772,13.6382274360594,1.67941472305325
53,1,254.49218287467,94.4799512957024,77.4616389582749,2.76745160694627,37.3647842750298,16.382041764402,34.8847070164668,112.066087363642,78.3001077988686,19.8776862884741,139.354097962674,230.528356421371,42.365835527213,69.9400249931828,27.5847322375729,930.919434911034,11.636381025303,87.3088994419384,1.25696284200533,9.08520056664022,13.589000742173,1.67859709568714
54,1,253.158469204643,93.9527059896449,77.0157057419158,2.75482742107639,37.1014658400229,16.2661145218072,34.7470878969983,111.789581839519,78.0201202177029,19.7796600981269,140.008523054857,231.434416625363,42.4585154661137,69.7784342409737,27.6740373123402,928.887953629468,11.5758130739178,86.9986567110484,1.25178352110099,9.03589104661599,13.5471852650952,1.67773062623363
55,1,251.793294555427,93.4063001384883,76.5433261205849,2.74081503220967,36.8325411470861,16.1477814127878,34.5978351900762,111.505180952836,77.7182681604931,19.6808547628541,140.676435195404,232.25401403615,42.5305038354535,69.546341401309,27.7495370778313,926.668939569027,11.5130903204946,86.6742969767363,1.24638484188053,8.9839008792129,13.5111052456401,1.67680460642097
56,1,250.398298142307,92.8413985712614,76.0449544608725,2.72539231104871,36.558604440754,16.027363506877,34.4369292737068,111.213868798375,77.3958317180037,19.581164275135,141.353492506082,232.970826485267,42.5799235277393,69.2448727204503,27.8091320221797,924.23532779036,11.4482211540941,86.333769554272,1.24078034256724,8.92928701396334,13.4789720564648,1.6758087366427
57,1,248.974343845114,92.2583149160118,75.5210425087103,2.70855037826742,36.2800463578039,15.905057362317,34.2643689723574,110.91640054092,77.0540370583692,19.4803317961485,142.033858307114,233.567796113819,42.6050637671292,68.8763969456678,27.8510835672442,921.55966408037,11.381174903213,85.9746812067362,1.23498044507796,8.87209838659954,13.4488958554315,1.67473342820571
58,1,247.521532889505,91.6570273903973,74.9720634147423,2.69029442678708,35.9970559006688,15.7809337937978,34.0801804085083,110.613239929668,76.6939944558295,19.3779664862841,142.71035281128,234.027541912662,42.6044087841017,68.4444358390704,27.8740106784309,918.615014125175,11.3118863423046,85.5944110171943,1.22899201534267,8.812378989843,13.4189007299892,1.67357010001595
59,1,246.039342512435,91.0372512554715,74.3985680095666,2.67064546902015,35.7096478581003,15.6549502415788,33.8844390284111,110.304538414705,76.3166801717136,19.2735734989165,143.374697088819,234.332952369019,42.5766814772478,67.9535624909977,27.8768910613378,915.376229515149,11.2402664502829,85.1902731712161,1.22281850435072,8.7501746338736,13.3869444836034,1.67231146077624
